id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,genre_names,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
2360,en,Saving Grace,"Unexpectedly widowed, prim and proper housewife Grace Trevethyn finds herself in dire financial straits when she inherits massive debts her late husband had been accruing for years. Faced with losing her house, she decides to use her talent for horticulture and hatches a plan to grow potent marijuana which can be sold at an astronomical price, thus solving her financial crisis.",12.341,2000-01-24,Saving Grace,6.5,385,"['Crime', 'Comedy']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25128,en,Love & Sex,"When her rather explicit copy is rejected, magazine journalist Kate is asked by her editor to come up with an article on loving relationships instead, and to do so by the end of the day. This gets Kate thinking back over her own various experiences, and to wondering if she is in much of a position to write on the subject.",9.856,2000-01-24,Love & Sex,6.2,114,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22230,en,Happy Accidents,"A comedy that pays tribute to the science fiction genre -- specifically, the sub-genre of time travel. But here the alternate reality is contemporary New York City where past and future experiences of trust, commitment and denial are cleverly put to the test. Just as Ruby is beginning to relish her first-ever healthy relationship, Sam begins muttering about being a time traveler from the year 2470.",8.219,2000-01-25,Happy Accidents,6.8,112,"['Comedy', 'Romance', 'Science Fiction']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
18168,en,About Adam,"A waitress falls for a handsome customer who seduces her, her two sisters, her brother, and her brother's girlfriend.",6.335,2000-01-28,About Adam,5.2,109,"['Comedy', 'Romance']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24470,en,"South of Heaven, West of Hell","Valentine Casey is a Marshal in the desolate Tucson territory of the early 1900s. On Christmas Eve, his outlaw family pays him a disturbing visit. He must confront the sins of his past. He and his partner, U.S. Christmas, journey through the desert to a small town that the ruthless Henry Clan has hit in order to save Casey's love, Adelyne.",9.061,2000-01-28,"South of Heaven, West of Hell",5.0,13,"['Action', 'Comedy', 'Drama', 'Western']",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22597,en,The Broken Hearts Club: A Romantic Comedy,"A close-knit group of gay friends share the emotional roller coster of life, relationships, the death of friends, new beginnings, jealousy, fatherhood and professional success. At various stages of life's disarray, these young men share humorous and tragic relationships and always have each other to rely on.",8.589,2000-01-02,The Broken Hearts Club: A Romantic Comedy,6.5,76,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4234,en,Scream 3,"While Sidney lives in safely guarded seclusion, bodies begin dropping around the Hollywood set of STAB 3, the latest movie based on the gruesome Woodsboro killings.",51.908,2000-03-02,Scream 3,6.0,3217,"['Horror', 'Mystery']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1907,en,The Beach,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",14.567,2000-03-02,The Beach,6.5,4060,"['Drama', 'Adventure', 'Romance', 'Thriller']",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
29076,en,Gun Shy,"Legendary undercover DEA agent Charlie Mayough has suddenly lost his nerves of steel. On the verge of a career-induced mental breakdown, and in complete fear of trigger-happy Mafia leader Fulvio Nesstra, Charlie seeks psychiatric help and finds himself relying on the support of an unstable therapy group and nurse Judy just to get through his work.",11.051,2000-04-02,Gun Shy,5.3,121,"['Action', 'Comedy', 'Romance', 'Thriller']",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
92620,en,The Color of Friendship,"Mahree Bok lives on a farm in South Africa. Her father is a policeman who cannot hide his joy when activist Steve Biko is caught by the South African authorities. Piper Dellums is the daughter of a US congressman from California and who lives in a nice home in Washington DC. When Mahree is chosen to spend a semester at the Dellums' house, she doesn't expect that her host family would be black. Nor do her hosts suspect that she is not a black South African.",7.537,2000-05-02,The Color of Friendship,6.8,52,"['TV Movie', 'Family', 'Drama']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
318,en,The Million Dollar Hotel,The Million Dollar Hotel starts with a jump from a roof top that clears up a death in a hotel that was burning to the ground where a lot of strange people had been living.,13.574,2000-09-02,The Million Dollar Hotel,5.9,295,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15655,en,The Tigger Movie,"Winnie the Pooh, Piglet, Owl, Kanga, Roo, and Rabbit are preparing a suitable winter home for Eeyore, the perennially dejected donkey, but Tigger's continual bouncing interrupts their efforts. Rabbit suggests that Tigger go find others of his kind to bounce with, but Tigger thinks ""the most wonderful thing about tiggers is"" he's ""the only one!"" Just in case though, the joyously jouncy feline sets out to see if he can find relatives.",16.31,2000-11-02,The Tigger Movie,6.5,518,"['Family', 'Animation', 'Comedy']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15489,en,Snow Day,"When an entire town in upstate New York is closed down by an unexpected snowfall, a ""snow day"" begins when a group of elementary school kids, led by Natalie Brandston, try to ensure that the schools stay closed by stopping a mechanical snowplow driver by trying to hijack his plow truck. Meanwhile, Natalie's big brother Hal is using this day to try to win the affections of Claire Bonner, the most popular girl in his high school, while Hal and Natalie's father Tom, a TV meteorologist, faces off against a rival meteorologist for weather coverage of the day's events.",9.942,2000-11-02,Snow Day,5.1,188,"['Comedy', 'Family', 'Adventure']",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44388,en,It Had to Be You,"Sparks fly when Anna Penn and Charlie Hudson meet. Unfortunately, they're both engaged to other people. In fact, they're staying at the same New York City hotel in order to work on wrapping up the last details of their nuptials. Over days and evenings of joint wedding planning, the two grow closer -- and start to wonder if they're getting married to the right people after all.",6.828,2000-11-02,It Had to Be You,6.2,22,"['Romance', 'Comedy']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5247,en,Mercy,"Detective Catherine Palmer is on the trail of an elusive serial killer. During her investigation she meets Vickie Kittrie, who belongs to an exclusive club of women who engage in secret sessions of bondage and S&M. Matters become even more complicated when Palmer finds herself attracted to Kittrie, leading to a brief lesbian encounter. Palmer soon learns that each victim belonged to this club of prominent, sexually experimental women. In order to catch the killer, Catherine must trust Vickie to guide her through the dangerous and illicit underground.",4.351,2000-11-02,Mercy,5.4,21,"['Drama', 'Mystery', 'Thriller', 'Crime', 'Horror']",0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
29866,en,Canone inverso,"Costanza is drinking a beer in a Prague pub, a summer night in 1968, while a violinist enters and starts playing a ""canone inverso"" for her. It is not a case, that music and that violin have a story behind that could concern her. It is the love story between Jeno Varga and the music, between Jeno and Sophie.",5.09,2000-11-02,Making Love,6.9,49,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29512,en,Bruiser,"Bruiser is the story of a man who has always tried to fit in. He keeps his mouth shut, follows the rules, and does what he's supposed to do. But one morning, he wakes up to find his face is gone. All the years of acquiescence have cost him the one thing he can't replace: his identity. Now he's a blank, outside as well as in, an anonymous, featureless phantom. Bent on exacting revenge, he explodes. He isn't going to follow the rules anymore.",9.51,2000-02-13,Bruiser,5.4,117,"['Thriller', 'Horror']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
174335,en,Sally Hemings: An American Scandal,"Epic television miniseries exploring the complicated relationship of Thomas Jefferson and slave Sally Hemings, who conducted a 38 year love affair, spanning an ocean, ultimately producing children, grandchildren, and lots of controversy.",7.468,2000-02-13,Sally Hemings: An American Scandal,8.0,3,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
10385,en,Hanging Up,"A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close.",14.929,2000-02-16,Hanging Up,5.2,152,"['Drama', 'Comedy']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
705146,en,Whatever Happened to Micheal Ray?,Whatever Happened to Micheal Ray? is an American documentary produced in 2000 by NBA Entertainment about the rise and fall of All-Star point guard Micheal Ray Richardson.,6.061,2000-02-16,Whatever Happened to Micheal Ray?,0.0,0,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,en,The Whole Nine Yards,"After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hitâ€”suburban style.",28.369,2000-02-18,The Whole Nine Yards,6.4,1702,"['Comedy', 'Crime']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2787,en,Pitch Black,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.",13.609,2000-02-18,Pitch Black,6.8,4090,"['Thriller', 'Science Fiction', 'Action']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
14181,en,Boiler Room,A college dropout gets a job as a broker for a suburban investment firm and is on the fast track to successâ€”but the job might not be as legitimate as it sounds.,19.109,2000-02-18,Boiler Room,6.8,591,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
29136,en,Flowers for Algernon,"Charlie Gordon is mentally handicapped and all he wants in life is to be a genius. When he gets picked for experimental surgery it looks like his dream may finally come true. But the surgery has side effects that could could kill Charlie. Can Charlie survive being just plain old ""Charlie Gordon"" and will his newfound romance survive this test of character?",4.737,2000-02-20,Flowers for Algernon,5.5,23,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11004,en,Wonder Boys,Grady is a 50-ish English professor who hasn't had a thing published in yearsâ€”not since he wrote his award winning 'Great American Novel' 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author.,13.763,2000-02-22,Wonder Boys,6.8,543,"['Comedy', 'Drama']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32458,en,Forgotten Silver,"The life story of Colin McKenzie, a forgotten pioneer of international cinema who was born in rural New Zealand in 1888.",7.615,2000-02-23,Forgotten Silver,7.2,101,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2155,en,Reindeer Games,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",22.43,2000-02-25,Reindeer Games,5.6,586,"['Thriller', 'Action', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15653,en,An Extremely Goofy Movie,"It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.",18.645,2000-02-29,An Extremely Goofy Movie,6.4,564,"['Animation', 'Family', 'Comedy']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47816,en,3 Strikes,"Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting.",6.974,2000-01-03,3 Strikes,5.6,48,"['Action', 'Comedy', 'Romance']",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11119,en,Fortress 2,"7 years on from the original Fortress movie, Brennick and his family are still on the run. Finally, they give in, and surrender, only to find themselves imprisoned in a new, more sophisticated fortress prison in outer space. But Brennick's not a man to give in easily, and with a 10 year old son waiting for him back on earth, he's going to pack some serious assault on the evil corporation.",10.767,2000-02-03,Fortress 2,5.1,178,"['Science Fiction', 'Action']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25166,en,Drowning Mona,"The recently deceased Mona Dearly was many things: an abusive wife, a domineering mother, a loud-mouthed neighbor and a violent malcontent. So when her car and corpse are discovered in the Hudson River, police Chief Wyatt Rash immediately suspects murder rather than an accident. But, since the whole community of Verplanck, N.Y., shares a deep hatred for this unceasingly spiteful woman, Rash finds his murder investigation overwhelmed with potential suspects.",13.519,2000-03-03,Drowning Mona,5.5,150,"['Comedy', 'Crime', 'Mystery']",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1831,en,The Next Best Thing,"A comedy-drama about best friends - one a straight woman, Abbie, the other a gay man, Robert - who decide to have a child together. Five years later, Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam, and a nasty custody battle ensues.",9.658,2000-03-03,The Next Best Thing,5.2,171,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
10416,en,What Planet Are You From?,"A highly-evolved planet, whose denizens feel no emotion and reproduce by cloning, plans to take over Earth from the inside by sending an operative, fashioned with a humming, mechanical penis, to impregnate an earthling and stay until the birth. The alien, Harold Anderson, goes to Phoenix as a banker and sets to work finding a mate. His approaches to women are inept, and the humming phallus doesn't help, but on the advice of a banking colleague, he cruises an AA meeting, meets Susan, and somehow convinces her to marry. The clock starts to tick: will she conceive, have a baby, and lose Harold (and the child) to his planet before he discovers emotion and starts to care?",11.114,2000-03-03,What Planet Are You From?,5.5,141,"['Comedy', 'Drama', 'Romance', 'Science Fiction']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
28031,en,If These Walls Could Talk 2,"The stories of three lesbian couples -- who live in the same house at different periods of time -- who are at a crossroads in their lives. In 1961, Edith loses her lover, Abby, to a stroke. Linda and Amy struggle with feminist issues in 1972. And, in 2000, Kal and Fran try to have a baby with the help of sperm donor.",17.893,2000-05-03,If These Walls Could Talk 2,6.7,88,"['Romance', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36968,en,Life-Size,"Sad and lonely after the death of her mother, Casey would do anything to see her again. But when a series of mystic mishaps mistakenly brings her fashion doll â€œEveâ€ to life instead, it changes Caseyâ€™s world forever!",15.158,2000-05-03,Life-Size,6.2,357,"['TV Movie', 'Family', 'Comedy', 'Fantasy']",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2067,en,Mission to Mars,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate.",16.501,2000-10-03,Mission to Mars,6.0,1296,"['Science Fiction', 'Adventure', 'Mystery']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
30940,en,The Inspectors 2: A Shred of Evidence,"Postal inspectors investigate a con man who uses the identities of others to falsify credit card purchases. Stealing credit card offers from mail boxes, he obtains cards in others' names, makes many purchases until the card is maxed out, but is always careful to pay minimum balances. According to the story, it is possible for individuals such as this to run many credit cards at a time without being caught.",6.244,2000-12-03,The Inspectors 2: A Shred of Evidence,4.8,6,"['TV Movie', 'Crime', 'Mystery']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9011,en,The Prophecy 3: The Ascent,"The conclusion to The Prophecy Trilogy. Once again, Christopher Walken returns as the Arch-Angel Gabriel. As the War in Heaven and on Earth rages on, Pyriel, the Angel of Genocide, rises to power, intending to destroy all of mankind. The only one who stands in his way is Danyael, who was born of an Angel and a woman.",9.153,2000-03-14,The Prophecy 3: The Ascent,6.0,148,"['Horror', 'Fantasy', 'Thriller']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
10429,en,Takedown,"Kevin Mitnick is quite possibly the best hacker in the world. Hunting for more and more information, seeking more and more cyber-trophies every day, he constantly looks for bigger challenges. When he breaks into the computer of a security expert and an ex-hacker, he finds one - and much more than that...",12.537,2000-03-15,Takedown,6.1,150,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10867,it,MalÃ¨na,"During WWII, a teenage boy discovering himself becomes love-stricken by MalÃ¨na, a sensual woman living in a small, narrow-minded Italian town.",52.631,2000-03-16,Malena,7.4,2035,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2046,en,The Gift,"Annie Wilson, young widow and mother of three, makes her living foretelling others' futuresâ â€”though her own has become cloudier than even she can see. Threatened by a client's violent husband and plagued by visions of a missing local woman, Annie finds herself pulled into a thicket of lies and deception in which her extraordinary gift may ultimately get her killed.",15.732,2000-03-16,The Gift,6.4,1075,"['Horror', 'Drama', 'Thriller', 'Mystery']",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
9532,en,Final Destination,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",53.02,2000-03-17,Final Destination,6.6,5143,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
462,en,Erin Brockovich,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",22.62,2000-03-17,Erin Brockovich,7.4,2872,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
243,en,High Fidelity,"When record store owner and compulsive list-compiler Rob Gordon gets dumped by his long-time girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in order to figure out what went wrong. As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood.",14.584,2000-03-17,High Fidelity,7.1,1797,"['Drama', 'Comedy', 'Romance', 'Music']",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
14805,en,Bait,"Landing in jail for a petty theft crime, Alvin finds himself sharing a cell with John Jaster, the incarcerated half of the pair of high-tech thieves responsible for the missing gold. His partner, Bristol, is still at large. Alvin wants only to get out of prison and start fresh with his girlfriend, Lisa, and when the Feds, led by U.S. Treasury investigator Clenteen, set him loose on a sketchy deal, he thinks his luck has changed. Alvin has his freedom and the Feds have found their bait.",14.518,2000-03-17,Bait,5.7,173,"['Action', 'Thriller', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72753,en,Alley Cats Strike,A group of hip retro teenage outsiders become involved in an interschool bowling rivalry.,4.411,2000-03-18,Alley Cats Strike,5.8,45,"['Family', 'Drama', 'Comedy', 'TV Movie']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
745434,en,How Proust Can Change Your Life,"A docu-drama portrait of the early-20th-century French author Marcel Proust, based on Alain de Botton's updated analysis of his work as a modern-day self-help guide. Ralph Fiennes plays Proust, with Phyllida Law and Donald Sinden as his contemporaries, while commentators including de Botton, Louis de BerniÃ¨res and Doris Lessing explain their enthusiasm for his work.",9.235,2000-03-19,How Proust Can Change Your Life,7.0,1,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,en,Romeo Must Die,"Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang Sing and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead â€¦ or worse!",27.057,2000-03-22,Romeo Must Die,6.2,1084,"['Action', 'Crime', 'Thriller']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36234,en,Timecode,"A production company begins casting for its next feature, and an up-and-coming actress named Rose tries to manipulate her filmmaker boyfriend, Alex, into giving her a screen test. Alex's wife, Emma, knows about the affair and is considering divorce, while Rose's girlfriend secretly spies on her and attempts to sabotage the relationship. The four storylines in the film were each shot in one take and are shown simultaneously, each taking up a quarter of the screen.",6.915,2000-03-22,Timecode,5.6,81,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127752,en,Believe,"After being continually kicked out of boarding schools, Ben is sent to live with his stern Grandfather in a small town. Almost as soon as he arrives he begins to see the ghost of a woman around his grandfather's house. He also gets to know a girl named Kathrine and the two fast become friends. They both want to help the ghost who holds a connection to both of their families. As they research the past, Ben and Katherine find out that sometimes all you need to do to help someone is to believe.",6.928,2000-03-22,Believe,5.4,19,"['Horror', 'Thriller', 'Family']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
